Show,Sentiment,Review
Homeland,0,"Overall the first four episodes made available for review plod along... But then, just as I'm about to write off this final season, something happens at the end of the fourth episode that pulls me right back in. Just like Carrie, I can't seem to let go."
Invasion,0,"Invasion doesn't appear to be all that interested in exploring, you know, the actual alien invasion bit of its plot - and that's a problem."
Big Little Lies,0,The final episode seems to emerge from a lack of ideas about how to get these five women together again in the same room. It just doesn't work. [Full Review in Spanish]
Sharp Objects,0,"It has everything to be a hit, but Sharp Objects does not captivate. [Full Review in Spanish]"
Treadstone,0,"As spy dramas go, this one is better left out in the cold."
Night Sky,0,"Night Sky begins as a beautiful coming-of-old-age story, but it splinters into an overstuffed sci-fi thriller."
Chloe,0,"It’s not that Chloe is awful... It’s just a bit implausible, and far too slick for its own good."
Night Sky,0,"After that first hour, you may be holding back tears. But after seven more, your eyes have glazed over, and even these luminous stars can’t bring you back to Earth."
WandaVision,0,"Once WandaVision starts recycling the same content in each episode, it becomes difficult to ignore that the show's primary interest is playing with form rather than propelling its story forward."
The Time Traveler's Wife,0,"Bad wigs, limp characterization, indifferent plotting."
Mayor of Kingstown,0,"[Mayor of] Kingstown, written by Sheridan, is another muscular soap that's long on characters talking in indecipherable lingo and short on clarity."
Mr. Corman,0,"Mr. Corman is billed as a ""comedy,"" somehow, but it's missing the laughs. It seems to be going for cringe comedy, but we just end up cringing. I felt more sad watching it than anything."
What If...?,0,"""What If...?"" is more of a ""WTF?"" Under all the bells and whistles, the Disney streamer is blatantly aiming to stave off losing Marvel subscribers with Saturday morning standard graphics and pretty rudimentary storytelling."
The Crown,0,You know there are problems with Gillian Anderson's performance from the moment the camera settles on her ashen Back to the Future hair.
The Mysterious Benedict Society,0,"There is potential in here, though, especially through the committed performances from the cast. But right now The Mysterious Benedict Society needs more mysteries and fewer answers."
The Ipcress File,0,"The world has turned, and turned again. These old games feel a bit silly, a bit staid: misplaced nostalgia masquerading as thrilling sensation."
The Shrink Next Door,0,"No expense was spared in building sets and procuring costumes that make the socioeconomic details of this story come through crisply, but both characters are, in the end, ciphers."
Limitless,0,A good sci-fi flick forced into a generic procedural TV show.
The Wheel of Time,0,"I never felt like I was watching an unfolding story, but I absolutely felt like I was watching the whiteboard in a writers room, more the pushing of note cards toward a destination than an adventure."
Mare of Easttown,0,"It's nice that HBO has turned out another handsomely produced, manifestly serious mini-series for the wonderful actress Kate Winslet. It would be nicer if those series were worth her time and talent."
True Detective,0,Mahershala Ali is the most notable thing about this third season that desperately tries to imitate the first season. [Full Review in Spanish]
A Teacher,0,It takes its sweet time getting anywhere and it's not an engaging trip. Both Ms. Mara and Mr. Robinson create characters who are sympathetic but also uninteresting; neither provides a reason to hang on.
Catastrophe,0,"It's often snobby and more than occasionally mean. It has a thin, subtle story, and lacks memorable set pieces."
Good Sam,0,I'm as game as the next fan for a new House. This just isn't there yet.
The Undoing,0,"Indeed, the show seems to relish the disorder that the Frasers cause in other people's lives, the pain they mete out. Throughout it all, the family remains static: glamorous, somehow still in control."
Succession,0,"I come not to bury ""Succession"" nor to praise it, but to perpetually hope it will take up that messy space between paranoia and performative nonchalance."
Halo,0,"The video game Halo excelled at letting players become the hero  with the new Halo TV series, audiences are instead saddled with a series devoid of a soul."
The Stand,0,"I can see that this concept might have seemed mind-blowing at the time, or mind-blowing at the right time in someone's cultural coming of age, but today, it is pretty old cheese, having been worked over endlessly in the interim."
The First Lady,0,"The writing is often clunky, obvious and filled with Big Picture Messaging, and too many of the supporting characters are one-note caricatures."
11.22.63,0,Feels like something ABC might have aired in 1997.
The Time Traveler's Wife,0,"The Time Traveler’s Wife is so unsatisfying, it’s a bit baffling why anybody, let alone Steven Moffat, whose work as a writer and showrunner includes Doctor Who and Sherlock, decided to have a go at it."
Lisey's Story,0,"Learn what is a Blood Bool in this florid, Grand Guignol Gothic fairy tale, that misses an essential element of heavy material - relief."
The Fall,0,"Its hallmark traits of knife-edge tension, sexual discussion and psychologically-charged scenes have been posted missing, and replaced with an hour of medical procedures and jargon that would bore the most ardent of E.R. fans."
Little Fires Everywhere,0,...the series is driven by a muddle-headed and confused notion about what's wrong with the U.S...
Loki,0,"Can't have a Multiverse of Madness without introducing the multiverse first, right?"
Veep,0,The cast of Veep is so abject that it is one-dimensional. [Full review in Spanish]
The Problem With Jon Stewart,0,"Part of that may be because of the vitality of its guests, Jenifer Lewis and Bassem Youssef. Maybe ""the problem"" with the series is Stewart himself."
Prison Break,0,"The reality is that Prison Break in 2017 is basically a collection of ideas that Homeland passed on, if you can imagine that."
Safe,0,"It can whirr on, in its mechanical way, without me."
Outer Range,0,"Outer Range has expansive scenery (when it can be seen), and decent performances from Brolin, Taylor, and Poots. But neither its family drama and supernatural elements are compelling enough to make up for the show’s slow pace."
Lovecraft Country,0,Lovecraft Country links to literary racism simply for fake topicality. Anti-American nihilism and hopeless racial cynicism give the show its gotcha.
The Offer,0,"Strange pacing and unnecessary subplots bog down The Offer's more enjoyable moments, turning what could have been a thrilling look at movie history into an uneven television show."
Dan Brown's The Lost Symbol,0,"Ashley Zukerman's Robert Langdon is an acceptable ""everyman"" hero with twinges of academic arrogance and situational awkwardness, but the overall mystery feels derivative and dopey."
The Book of Boba Fett,0,"Disney left its content farm out in Tatooines suns for far too long, a wilted mess of a commodity masquerading as a television show. What a sad showing, not just for Star Wars, but for art itself."
The Morning Show,0,It's baffling how a series with such a talented and star-studded cast managed to bypass prestige drama and land in the realm of soap opera.
Ozark,0,"The tension all goes slack, formerly compelling characters end up being waved at each other like wooden dolls, and yet another prestige drama leaves the audience wondering why they bothered."
Mayor of Kingstown,0,"Unless the story improves significantly, it's hard to imagine a scenario in which Mayor of Kingstown gets reelected."
Mad Men,0,Each season is starting to resemble an animated cartoon where the same landscape rolls by over and over again. We've seen a lot of these story lines before.
The Righteous Gemstones,0,"While fans of the show's first season will likely enjoy the second, its humor too often falls into the habit of reveling in the dumb, gross, and broadly obnoxious."
The Undoing,0,The Undoing becomes overly long and formulaic. It's less interesting than Big Little Lies and has less on its mind socio-politically than Little Fires Everywhere.
The Flight Attendant,0,"While everything was new to Cassie the first time around -- making her a sort of classic Hitchcockian Everywoman, way over her head in this world of espionage -- the mystery here proves more convoluted and difficult to track."
The OA,0,"Events, characters and half-formed ideas are thrown at the screen then abandoned in favour of fresh mysteries, the show infinitely rolling out a carpet of kookiness."
Gentleman Jack,0,"The trouble with this period drama, based on the 1830s diaries of the stridently lesbian Miss Lister, is that it’s hard to care about her fiscal affairs."
Lisey's Story,0,"While Lisey's Story was one of King's best novels in part because of its complexity, he was unable to edit down the endless subplots and subtext that float well in the novel's undercurrents but become choking and unwieldy on screen."
Arrested Development,0,I wanted to laugh like never before. Voice of the narrator Ron Howard: I did not succeed. [Full Review in Spanish]
The Bletchley Circle,0,"Instead of stroking suspense, the show starts and stops in fits, never finding a thrilling stride that unites the mysteries and deepens characterizations. Let's hope that Anna isn't on a permanent vacation."
The Wheel of Time,0,"The visuals have some magic here, but the overall journey fails to cast any sort of spell."
WandaVision,0,"The end product is comedically wan, the double-takes broad and all the Olsen/Bettany/Hahn charm squeezed into tiny dabs of screen time"
Ginny & Georgia,0,"Ginny & Georgia wants us to love the way that Georgia always manages to stay one step ahead... Instead, I kept hoping that Child Protective Services would finally catch up."
The Mosquito Coast,0,"Maybe such candor is too much to ask of a show created for a platform owned by one of the world's most valuable corporations. Sadly, the alternative leaves us with a commercial for thinking about America more than a complete thought."
And Just Like That...,0,"And Just Like That... is a massive departure from Sex and the City in all the worst ways. It trades in its wit for a humorless, tone-deaf sequel series that struggles to make any case for its existence."
Halo,0,"The derivative touches can't help but make the whole exercise feel generic, exhibiting a lot of hardware but not much creative spark."
Marvel's Luke Cage,0,"Bloated, disheveled story but a super soundtrack and performance by Reg E. Cathey."
Joe vs Carole,0,"Coming out a full two years after the cultural rubbernecking that made Netflix’s Tiger King a brief sensation, the show’s refusal or inability to streamline the themes and narrative of this story has gone from innocuous to grievous."
Nine Perfect Strangers,0,"While the strong ensemble cast made for a promising set-up, the series was besmirched by an increasingly infuriating script and a trite ending that had this viewer hurling decaying vegetables at the screen."
The Right Stuff,0,"The Right Stuff is not bad, or even boring, just thin and unconvincing."
Little Voice,0,"Yes, those who love musical performances, New York, and the work of Sara Bareilles will likely find a lot to enjoy here, but overall Little Voice is mostly as a disappointment."
Moon Knight,0,The first three quarters of this six-episode season is a vague story that takes a long time to go nowhere. There's not enough character for a character study and not a clear enough plot for a satisfying thriller.
Stranger Things,0,"The whole experience felt like being forced to eat every menu item from the Cheesecake Factory over the course of a day: lots of deliciousness, some things you never wanted, and the whole experience leaving you feeling nothing but bloated."
The Twilight Zone,0,All over the map... Rod Serling had overworked himself into a state of total burnout from which he would never fully recover.
Bel-Air,0,"Painfully earnest and mostly stripped of its original buoyancy, this formerly amusing and entertaining fish-out-of-water story is left gasping for an original thought."
Arrested Development,0,"What's missing here, to a depressing degree, is a sense of purpose."
Chernobyl,0,"We should be engaged by the tragic flaws and nobility of all this by this point, but the story and characters have gone so uncorralled that it takes all your viewing energy just to keep it fractionally straight."
The Undoing,0,It was a bumpy flight that wound up in a dingy parking lot.
His Dark Materials,0,With so much time taken up with gabbing there was little left for the kind of spectacle that made the first series a hit.
Little Fires Everywhere,0,"What's frustrating about Little Fires Everywhere is that the discrepancy between the novel and the miniseries implies that A-list actors are all the show has to offer, when what should really shine is Ng's wise, haunting story."
Rise,0,"Mr. Mazzu is like Rise itself: sweet, earnest, cloying, and also obnoxious."
Big Little Lies,0,"The series works best when it focuses on intimate, human moments rather than on broad social critiques."
Limitless,0,"Limitless comes off as rote, slick and bloodless.The show is based on the film of the same name and expect occasional Bradley Cooper drop-ins, but unless Limitless lives up to its name and starts achieving far more of its potential, I'll pass."
The Time Traveler's Wife,0,Romance fluff with a hokey twist isn’t my cup of tea.
Foundation,0,"""Foundation"" has the space for Asimov's seemingly endless plot points to breathe. Even so, it's much to take in, though creators David S. Goyer and Josh Friedman deserve kudos for making the effort at achieving the impossible."
Lisey's Story,0,"Director Pablo Larraín and a splendid cast led by Julianne Moore and Clive Owen are left with the task of making Lisey's Story cinematic, resulting in a push-and-pull that's all-too-visible, especially in the series' clumsy back-half."
The X-Files,0,"Once we were charmed by this gloriously imaginative fiction, but with this latest iteration Chris Carter has only managed to weave a tapestry of unparalleled nonsense."
Marvel - Jessica Jones,0,"[Krysten] Ritter, who took such fantastic ownership of this character, deserves more than a season that finds Jessica more or less where it always does-let down by those around her."
Foundation,0,"The time jumps are confusing and the story needs a clearer arc. It doesn't feel immersive enough and, absent the texture of everyday life, the stakes feel too theoretical. The editing is clunky and the show lacks a sense of humor."
Suspicion,0,"This viewer simply lost the patience waiting for the show to allow Thurman, a gifted performer who too rarely gets the chance to let loose these days, to do much of anything."
Ozark,0,I was annoyed and rolling my eyes. I was on the edge of my seat wondering if the show would do anything truly surprising.
Foundation,0,"For people who know or are fans of Isaac Asimov and his work, I feel compelled to warn you that if you watch the show you will see a scene so enraging that you will tear your TV in two with your bare hands."
The X-Files,0,"The adjustments made for the opening episode show less of the kind of creative skills that made episodes like ""Triangle,"" ""Home"" and ""Ice"" so memorable and come across as a uninspired solution to what looked like an unfixable situation."
Star Trek: Prodigy,0,"The show mostly just transparently trades off the ""Trek"" title without feeling like it's going anywhere, boldly or otherwise."
Stranger Things,0,It feels both overstuffed and slackly paced at the same time.
Bridgerton,0,"Theres something to be said for familiarity, but Bridgerton keeps most of the less interesting stuff from last season and jettisons the scandalous intrigue we tuned in for in the first place."
Narcos,0,"For all the shake-ups in the cast and in the show's scope, Narcos is still Narcos."
You,0,"For a thriller that was previously known for dealing largely in shock value, Joe's actions - accompanied once again by his over-indulgent inner monologue - now start to wear thin to the point of becoming predictable."
Marvel's Iron Fist,0,"Yet drastically improved action sequences...just aren't enough to salvage Iron Fist, let alone keep general audiences interested."
All American,0,"I expected more from this show - do better, All American."
Weeds,0,Almost completely misses.
WandaVision,0,"Disney Plus's new Marvel show WandaVision promises a surreal spin on a 1960s sitcom reality. But so far, it's delivered little more than winks and nods to Marvel Cinematic Universe loyalists."
Killing Eve,0,"Like a bad romance, Killing Eve is keeping its couple apart without logical or emotional justification. In the process, it’s dulled the spark provided by these two excellent actors as well as the tension sustained by their taste for danger."
All of Us Are Dead,0,"While the diminishing returns of the shows narrative are a disappointment, the moral implications of its wide-ranging smorgasbord of social commentary are bewildering, if not outright alarming."
After Life,0,"Monologues about grief and recovery are painfully trite, painfully single-dimensional; it falls short of even syrupy fare like Ted Lasso."
Sex/Life,0,"Having watched all eight episodes of the show, what I remember from it isn't how steamy the sex scenes are (not least because they aren't), but how frustrating I found Billie and all of the people around her."
The Stand,0,"[The novel] captured a crisis through small stories that converged to form a larger reality. Had the show retained the novel's pacing, and opted for grief over gore, King's message of humanity's resilience might have carried more weight in these times."
Nine Perfect Strangers,0,"The series, as it cycles through satire, horror, and prestige psychodrama, can't quite decide whether the wellness industry is a virulent scam or a desperately needed curative for broken souls."
Outer Range,0,"Outer Range isn’t consistently satisfying as a drama series, though as an extended metaphor for television viewing circa 2022, this story of a Wyoming family throwing things in a mysterious hole on their ranch is at least unintentionally savvy."
Sex/Life,0,"Rather than interrogate why Billie's sublimated her needs for the sake of a relationship, the series seems concerned only with titillating viewers -- and, despite Shahi and Demos' athleticism and enthusiasm, even that gets old."
The First,0,"Well shot, at times edited like an inspiring Super Bowl ad, the show falls into a curious trap of pretension. It seeks to be a ""serious"" show using astronauts, instead of being a good show about the potential of space travel."
And Just Like That...,0,"The result of this sequel or reboot, while not being embarrassing, is quite disappointing. [Full review in Spanish]"
Moon Knight,0,"As much as I enjoyed watching Marc and Steven argue with each other in some Gollumesque fashion, I kept getting lost when the storyline switched from one character to the other."
Anatomy of a Scandal,0,"Out of all the thriller fare that Kelley has adapted for the small screen to date, the whole of Anatomy of a Scandal is disappointingly much less compelling than the sum of its parts."
True Detective,0,"True Detective Season 3 is a little more workmanlike and less baroque, perhaps too eager to prove that it can tell a legible story again."
The Offer,0,"The Offer certainly didnt have Coppolas blessing, and I hope this wasnt the reason behind his problematic portrayalhe is shown not as an angsty New Hollywood artist, but as a comedic buffoon."
Once Upon a Time in Wonderland,0,"Unless Alice and her rabbit pal have more tricks up their sleeve than Snow White and the gang could muster, ABC's visit to Wonderland might once again leave the network less in need of a looking glass than a rear-view mirror."
Outer Banks,0,"If you don't want to broach the issue of race here, then don't tie the treasure to slavery. But if you're going to make that link, you have a responsibility to actually talk about it and the implications."
Rise,0,"Rise wants to be an inspiring drama. More accurate to describe it as a drama about wanting to be inspirational...Rise seems uninterested in its own best instincts, willing to bring up ideas but unwilling to carry them over the finish line."
24,0,Live Another Day feels terribly dated.
Inventing Anna,0,"There is a brilliant drama to be had from the story of Anna Delvey, and when someone makes one I’ll be sure to let you know."
Mare of Easttown,0,"With the overwhelming variety of ""prestige"" content that exists in every nook and cranny of the internet and beyond right now, Mare of Easttown isn't exactly appointment television."
Bel-Air,0,Bel-Air strives for authenticity in the most thinly drawn manner possible.
Moon Knight,0,Oscar Isaac can't salvage middle tier MCU entry.
The Pentaverate,0,"While I am glad I didn’t have to pay to see this on the big screen, I enjoyed laughing at some dumb jokes for a couple of hours."
Sex/Life,0,"It loses its rhythm and goes round in circles trying to make a point but it fails terribly. The writing is shallow, the acting sub-par and at most, the racy scenes are endurable."
WandaVision,0,You'll have to wade through a middling '60s sitcom to see what's really going down on Marvel's unconventional WandaVision.
The Big Bang Theory,0,"I'm not sure if they got the physics exactly right, but The Big Bang Theory somehow ended not with a breakup but an ""I love you."""
The Stand,0,Never rises above a slightly dreary competence.
Altered Carbon,0,"It had good moments, it had bad moments, it had dull moments. I kind of wish now that there was just Season 1 standing alone as a great example of the genre..."
Anatomy of a Scandal,0,There are several bizarre gaps in the shows structure.
Loki,0,"The series achieves its ultimate manifestation as Saturday-afternoon animation. With Loki, Marvel, Disney, and their die-hard constituents have found ways to make the banal even more banal."
The Mighty Ducks: Game Changers,0,"While I was happy to see Estevez on screen, the character is flat and unpleasant, giving little explanation about his backstory until episode three."
Waco,0,"The show creates its own problems in telling this story, especially as it can't seem to handle the scope."
The Nevers,0,"There are too many characters, too many high-stakes plotlines, and not enough explanation for how it all connects."
Once Upon a Time,0,Once Upon a Time's magic is gone.
Marvel's Iron Fist,0,Has Iron Fist improved at all? The short answer: Kind of?
24,0,"The contemporary anxiety 24 hopes to exploit this time around is of drones and of the increasingly dehumanized nature of warfare, but it has become a sort of dehumanized show, populated by barely human characters."
Invasion,0,"While it's an ambitious, sometimes welcome subversion of the genre, the approach often works to the series' detriment."
The Essex Serpent,0,"At least the drama lights up whenever Hiddleston appears on screen. Because it’s otherwise desperately dreary, which is unforgivable when the source material is so rich."
Inside Amy Schumer,0,"Schumer is as brazen and politically conscious as ever, but this season feels less personal and less urgent than last season...and more formulaic-sometimes even bordering on lazy."
Star Trek: Voyager,0,"Everyone on Voyager deserved better, especially Kathryn Janeway."
Mayor of Kingstown,0,It is a bleak drama series that doesn't seem to bring anything new to the table
Chucky,0,There's only one vaguely interesting formula tweak here and it's Mancini's decision to make his protagonist queer and then to handle it with a refreshingly casual sensitivity.
Arrested Development,0,"The problem with evoking past highlights as a narrative device, however, is that it relies on an unsullied memory of what's being evoked."
Nine Perfect Strangers,0,"The cast of Nine Perfect Strangers is too good for the limited series to ever be unwatchable. But after seeing six of eight hour-long episodes, I'm pretty sure the biggest mystery has nothing to do with any of the damaged characters."
Waco,0,"Waco won't be the first drama to reduce a tragedy to its simplest components, but this doesn't offer much confidence that these are the right components or the only ones."
The Nevers,0,"It is, indeed, steampunk Buffy with corsets -- and for several reasons, that's no longer an enticing concept."
House of Cards,0,It's eight-hours of filler to set up an immensely unsatisfying conclusion.
The Staircase,0,"The problem is, in a good fictional crime story, the writers and directors feel a sense of responsibility to make you care. Here, there’s an underlying assumption that we’ll care, and that assumption leads to plodding, stultifying drama."
The Nevers,0,"The Nevers is an unimpressive monument to a storyteller whose work has meant a lot to many people, but who cannot now figure out how to rise to the moment."
Big Shot,0,"The lack of proper development for its teen girls is the most troubling aspect of ""Big Shot,"" all things considered, the element that feels the most performative."
The Nevers,0,"The Nevers may get better when Whedon is no longer involved. It also may not. As it stands, the show is airing proof that Whedon's former proficiency, which insulated him from experiencing the consequences of his disturbing actions, has vanished."
Lovecraft Country,0,Lovecraft Country wears its progressivism like a costume.
Altered Carbon,0,"Altered Carbon has an amazing sandbox to work with, but the story doesn't always know how to play in it... The good news is that Season 2 ends on a note that could make Season 3 its best yet."
The First,0,"In the end The First feels much like Mars itself: cold, bumpy, and too far away to touch."
The Time Traveler's Wife,0,What’s left is a show filled with so much hatred and ickiness it’s hard to believe anyone will find something to enjoy lurking inside all this muck.
The Nevers,0,"Despite sexy intentions, the series is sometimes laughably prurient. Moreover, it's riddled with Whedon's signature dialogue that's entirely too self-aware with how smart it's trying to be."
Roar,0,"In the end, the biggest problems with “Roar” may be failures not of the filmmakers, but of the medium itself. Some short stories simply work better on the page"
Inventing Anna,0,The result falls flat. Inventing Anna is a stretched-out nine-episode romp that never quite catches the enigma of its protagonist -- or matches her appeal.
Lisey's Story,0,"Lisey's Story's failings aren't an indictment of King the screenwriter, they're a tribute to King the novelist."
The Pentaverate,0,Mike Myers' affectionate but uneven conspiracy theory comedy is let down by its lowbrow humour.
Entourage,0,"That the new season begins with Vince having left that murk behind reinforces a consistent criticism of Entourage, that it's a lark and nobody every changes."
Scenes From a Marriage,0,"You end up wondering whether they are true soulmates, or just trauma-bonded beyond redemption. Christ, you think, move on, but, alas, they won't."
The Office,0,I concluded that I was watching a show that wasn't just winding down. It was being taken off life support.
The First,0,"The series may well develop into an absorbing character-led take on humankind's dream of exploring the solar system, but Willimon seemed to be relying on the audience having a bite at the second episode before deciding."
Prison Break,0,"It's utter nonsense. Mind-numbingly stupid. Worse yet, it's a bore."
God's Favorite Idiot,0,"This series seems to aspire to be something in between a workplace comedy and a supernatural romp, and it has its moments, yet as much as we love the actors not every comic premise succeeds."
The Lincoln Lawyer,0,"Despite some admirable efforts by its committed cast, this version of The Lincoln Lawyer never makes a compelling case for its lengthy and laborious existence."
Suspicion,0,"By the time Suspicion reaches its heavy-handed conclusion, we hardly care who done it and why they did it."
Invasion,0,Invasion is a slog - and not a particularly enjoyable one at that.
Joe vs Carole,0,"Despite ""untold story"" claims, Joe vs. Carole is dedicated to the already extensively chronicled exploits of Joe Exotic and Carole Baskin."
"Doogie Kamealoha, M.D.",0,"Right now, Doogie Kameāloha, M.D. is a predictable show on many fronts, including its slavish devotion to the original program."
The Shrink Next Door,0,The execution of the story doesn't feel balanced as an eight-episode series. It's oddly surface level at the same time never diving into the nuance or the complexities of how this could have happened.
Lisey's Story,0,"There are some interesting, often supernatural connections between the characters; the hard part is wanting to stick around long enough to see where they might lead."
Limitless,0,It's just not fun enough to be memorable.
Safe,0,"Safe could have been so good. All the ingredients were there for a prime binge-worthy crime thriller - the writers, the cast, the concept - but it just hasn't been given the time, care and attention it needed."
The Morning Show,0,"After watching Season 2, I struggle to be certain what this show is about. The answer, at this point, really isn't ""a morning show."""
Black Mirror,0,"The fifth series of Black Mirror is comprised of episodes that feel less like the work of Brooker and more like thin, wanting knock-offs that were inspired by him."
Devs,0,"It has [Alex] Garland's signature chilly and cerebral tone, but the pacing is sluggish."
Shadow and Bone,0,"'Shadow and Bone' is trying to show way too much in too little time, leaving its best intentions emotionally stunted and inert."
Game of Thrones,0,"In the final six episodes, Game of Thrones should have felt like a game of chess. Instead, it veered very close to feeling more like a game of checkers. And that's probably why so many viewers felt burned."
The Wheel of Time,0,"As much as The Wheel of Time left me indifferent, I very much warmed to the universe of the Aes Sedais. Your introduction to them is Moiraine, and it's difficult not to be intrigued by her order. She's the type of woman who doesn't hear ""no"" often."
Marvel's Iron Fist,0,"Its lead character doesn't deserve top billing, and maybe never will. So until Daughters Of The Dragon becomes a reality, we'll keep checking out Iron Fist for the rest of the fight card."
Twin Peaks,0,"The original run is one of TV's masterpieces, and Lynch finally returning to this project -- and unshackled by network restrictions -- was great news. In retrospect, limitations might have been welcome since this suffers from extreme excess and overkill."
The Nevers,0,"It feels empty, as if the scripts are just going through the motions; the characters have so little substance beyond their spunky quips that the dramatic moments, when they inevitably arrive, ooze into each episode like treacle."
Lisey's Story,0,"The problem is that when it's this close to the heart, it can often be a case of not being able to see the wood from the trees."
The Morning Show,0,"I liked that season one was a little campy. This season, however, summoned the ghosts of Joan Crawford, the cast of Grease 2, and Lady Gaga's Artpop era."
The First,0,"It's too much buildup for too little payoff. By the time the series is ready to launch, we're already charting a course for somewhere else."
Nine Perfect Strangers,0,One crucial departure from the formula is the writing.
Winning Time: The Rise of the Lakers Dynasty,0,"Despite a plethora of well-tuned performances, its visuals and narratives stumble."
Pieces of Her,0,"While a new Collette performance is an event, the show often seems to be hiding its most effective onscreen asset, in favor of time spent in the past. And that past likely worked better on the page than onscreen."
Downton Abbey on Masterpiece,0,Fellowes hints at drama and pulls his punches.
Pieces of Her,0,"In order to stretch out the drama...it can drag a little bit rather than make it interesting to
watch... By the time you figure out what's going on, which is four or five episodes in, it loses steam."
The Boondocks,0,The Boondocks is wrapping up its run by being more like Al Pacino as Al Pacino in Jack and Jill: a sad-looking shell of itself that sometimes recaptures its past spark but has seen better days.
What If...?,0,"The idea of taking such popular, well-worn characters and scrambling them throughout this massive worldbuilding experiment sounds fun, but the results so far are pretty lukewarm."
Tokyo Vice,0,"An exercise in lost momentum, a glimpse at a fading underworld loath to offer any perspective on it. Maybe the wildcat was just a tabby the whole time."
Wolf Like Me,0,"Wolf Like Me might claim to be a TV show, but its really a movie. (A short one, at that.)"
Arrested Development,0,They've made a huge mistake.
Behind Her Eyes,0,"Although it retains the book's shocking twist (it was marketed with its own hashtag #WTFThatEnding), even that is not enough to give Behind Her Eyes an edge over its umpteen counterparts."
And Just Like That...,0,Nothing about the show feels organic; so much about it is painfully forced.
A Very English Scandal,0,"""A Very English Scandal"" plays too much with tragedy."
Servant,0,"Those who've been just as mystified, expecting a third season to answer the many questions it's raised, or at least a deeper dive following the supernatural events of the Season One cliffhanger, will be terribly disappointed."
Turner & Hooch,0,"One difference between the film and the series - and it's a pretty significant one - is that Josh Peck is no Tom Hanks. Another difference - again, pretty significant - is that it's not 1989 anymore."
The Twilight Zone,0,"One of the major issues of Peele's debut season was the runtime for episodes. This season is no exception, and of the three episodes screened, only one truly earns the extra half-hour - and even then, it could easily be chiseled down."
The Gilded Age,0,"The real American Gilded Age was a period of huge upheaval, but Julian Fellowes' The Gilded Age zooms in so closely that the arc of change looks like a plateau"
Rise,0,"Yes, a talented, experienced, ""difficult"" woman was passed over for a job because an amateurish white guy woke up one day and decided he wanted to switch career paths."
True Detective,0,"While I appreciate Mahershala Ali's solid performance and the technical excellence of this gorgeous production, there is no sense of urgency or connection. Everyone is sleep walking through the case."
11.22.63,0,That the limited series squeaks by as just entertaining enough is a disappointment considering the pedigree of everyone involved and the reputation of its source material. Time travel and Dealey Plaza deserve better.
Anatomy of a Scandal,0,"The only thing shocking about Anatomy of a Scandal is that David E. Kelley, creator of series like Picket Fences, Ally McBeal and The Lawyer, hasn't had a hit since the first season of Big Little Lies. [Full review in Spanish]"
Defending Jacob,0,"Defending Jacob suffers greatly from its format, stretching 120 minutes of story max into eight hours of episodic television."
And Just Like That...,0,"Ah, well."
Riverdale,0,"special events are not canon, which means that it's all a meaningless stunt designed to incorporate The Chilling Adventures of Sabrina into Riverdale and give K.J. Apa fans a brief heart attack."
Stranger Things,0,"Stranger Things 4 is a sad, indulgent, at-times-predictable slog. Episodes routinely run more than an hour and many characters are mopey."
Halo,0,"Between the series’s somewhat nondescript visual style and its overwhelming exposition, Halo is bogged down by world-building and almost hampered by its source material."
