Show,Sentiment,Review
Jericho,0,"On paper, the idea of building a new democracy from the ruins of war while government contractors run amok is just as strong as the original premise of Jericho. But the execution remains mediocre."
Killing Eve,0,"Instead of something small but perfectly formed, Killing Eve has become one of those programmes that seems mainly to inspire the response, “Oh are they still making that?”"
Outer Banks,0,"If you don't want to broach the issue of race here, then don't tie the treasure to slavery. But if you're going to make that link, you have a responsibility to actually talk about it and the implications."
Glee,0,"Although it's taken a step in the right direction, the show's previous ubiquity in high school pop culture leaves it as a pale imitation of its former self in the sixth and final season's two-hour premiere."
The Time Traveler's Wife,0,A story that lacks strength... torn between what it wants to tell and how. [Full review in Spanish]
The First Lady,0,"You will find no objections from me to giving each of these real women a chance to fill a whole series with their dualities, tensions, and complications. But there’s very little of that realness here."
House of Cards,0,"Artistically, Season 6 of House of Cards is a flop."
The Mosquito Coast,0,"""The Mosquito Coast"" works best when you just follow along with the running and don't think too hard about the rest, but the running itself becomes tedious after awhile. Not everything makes perfect sense, or seems remotely plausible."
The Mist,0,"The series... plays around with elements familiar to members of King's devoted fan base, as well as those from Frank Darabont's intense and somber 2007 feature film of the same name, but with less successful results."
Prison Break,0,"There's a reason the phrase ""You can't go home again"" amounts to a cliché. You really can't. Especially when home is a prison."
Little Fires Everywhere,0,"Little fires will quickly merge into an overwhelming flame, and even though this is the first scene of the series, Hulu's adaptation goes right ahead and burns itself out."
Sex/Life,0,"Whatever inherent truths the show explores -- marriage is hard, the magic/romance fades, etc. -- get overshadowed by the wanton silliness."
Loki,0,"Loki feels too constrained, too stale, for a story about a wayward god of mischief. Too much exposition bogs down the script."
Bridgerton,0,...it’s difficult to imagine that Bridgerton will ever make quite the splash that the first season did without stars like Page who strike the perfect balance between steamy and silly...
The Endgame,0,"Morena Baccarin and Ryan Michelle Bathe, longtime supporting players getting starring roles in a large-scale series for the first time, do not feel irreplaceable, and the show's clunky, obvious writing doesn't give them much to work with."
13 Reasons Why,0,The empathy of the first season has vanished completely. [Full Review in Spanish]
Fargo,0,"If all of this sounds like a lot of strands to tie together, it is-but unlike in previous seasons, many of these strands really feel ancillary to the gangland drama that stodgily occupies center stage."
Treadstone,0,"As spy dramas go, this one is better left out in the cold."
The O.C.,0,"Its peculiar mix of comic adult misbehavior, teen love and sexuality and sarcastic humor -- all played to a trendy musical soundtrack -- returns for a fourth season that illustrates it has stayed at the party too long."
Monsters at Work,0,"As someone who loves the films, I wonder ... do we need more of it? The films are so well self-contained. This feels like an excess of something we don't really need."""
Marvel's Luke Cage,0,"Luke Cage might be bulletproof, but the character's eponymous Netflix series looks weaker in Season 2 -- not bad, overall, but still experiencing the equivalent of a sophomore slump."
Downton Abbey on Masterpiece,0,"For a series dedicated to supposed historical realism, Downton Abbey wraps things up with a bow of pure fantasy."
Invasion,0,"Invasion is a ten-hour season devoid of nearly all humor, where characters across the globe continually bumble around in their own misery, resentful that aliens keep interrupting their tragic lives."
Foundation,0,"Lacking wit or self-awareness, Goyer's robot future is every bit as cold as you'd expect from a space adventure that's actually all about algebra."
The First,0,Packed with corny symbolism and inexplicable cutaways.
The Tourist,0,"What seems at the outset like a chance for Jamie Dornan to do some heavy existential lifting never quite makes good on that promise. Instead, “he Tourist”eventually settles into a conventional web of TV intrigue."
Marvel's Agent Carter,0,"You wouldn't be alone in feeling that this season of Agent Carter lacked a certain urgency...that's really the rub, that Season 2 never seemed like it had enough to say on Peggy's journey..."
Anatomy of a Scandal,0,"Despite able performers and potent themes, the show is so addicted to chaos that it squanders its chance to say anything substantive."
Girls,0,"For a show that started off so real to its target demographic, it didn't end that way."
Heroes,0,"Maybe I'm coming off a little harsh, but after so many years of mediocre storytelling and promises of things being better, I'm over it."
Safe,0,"Safe could have been so good. All the ingredients were there for a prime binge-worthy crime thriller - the writers, the cast, the concept - but it just hasn't been given the time, care and attention it needed."
Arrested Development,0,"You could forgive all this if these episodes were funny, if they contained even a trace of the spark that made its first run so incredible. But they aren't. They're flat and lifeless and pointless."
And Just Like That...,0,"The name surely carries plenty of equity, but like the movies, this HBO Max show yields diminishing returns."
Arrested Development,0,"You could forgive all this if these episodes were funny, if they contained even a trace of the spark that made its first run so incredible. But they aren't. They're flat and lifeless and pointless."
Invasion,0,It's nothing but a kitchen sink drama as people are running and seeing weird things happening.
Suspicion,0,"The cast is appealing, but Thurman lacks energy to the point where she seems almost glazed."
Monsters at Work,0,"Has the feel of a weekday afternoon cartoon that was churned out quickly to capitalize on a successful property, featuring lesser versions of the franchise's characters."
The Act,0,Watching the series becomes a bit of a slog where you are just waiting for the crime to happen so that the narrative can move forward.
Once Upon a Time,0,OUAT season seven suffers from the same anvil-ish dialogue it always has.
Rise,0,"The cast is solid, but otherwise ""Rise"" falls flat."
Glee,0,Perhaps Ryan Murphy's most ruinous decision was to go all-out in his embrace of victimhood.
Brave New World,0,The idea of a society where pandemics have been completely eradicated may sound ideal in this particular moment. But that's the only attractive I could find in Brave New World's utopic setting. [Full Review in Spanish]
Sharp Objects,0,"It has everything to be a hit, but Sharp Objects does not captivate. [Full Review in Spanish]"
Nine Perfect Strangers,0,"The tone wanders, mixing scenes in ominously idyllic locations with supposedly meaningful closeups of fruit being whipped into submission for smoothies."
Lovecraft Country,0,Lovecraft Country wears its progressivism like a costume.
Roar,0,"Mostly the stories hammer you over the head with their obviousness, then peter out."
First Kill,0,"A dull, predictable Buffy the Vampire Slayer knock-off."
Bridgerton,0,"Season 1 may have left audiences hot under the collar and begging for more the first time around, unfortunately its successor is more likely to leave viewers yawning, such is the state of affairs with season two."
Ginny & Georgia,0,"There's a decent YA show in here somewhere, but along with its abundance of plot, Ginny & Georgia needs to step away from the plethora of Gilmore Girls references to get there."
Loki,0,"Loki could well improve, now that its arduous task of educating us about multiverses, and glumly explaining Loki to himself, is with any luck behind it. Let's hope so."
The Nevers,0,The Nevers begins with an intriguing premise and develops it in such a plodding way that interest progressively fades with each successive hour.
The White Lotus,0,"Instead of the series' short run delivering a well-honed critique alongside its murder mystery, the end result feels unsatisfyingly unfinished."
The Wheel of Time,0,"It does eventually bed in somewhat, but not as much as it should."
Prison Break,0,"In a particularly generous (or perverse) move, Fox is giving us not just a dead show or a dead character, but a two-for-one sale."
Foundation,0,"As a new sci-fi show, it would be fine. As a big-budget, flagship production for Apple it looks like a fine opportunity wasted."
The Witcher,0,"The show remains uneven and somewhat impenetrable to anyone not truly invested in it, which isn't helped by the long layoff."
His Dark Materials,0,With so much time taken up with gabbing there was little left for the kind of spectacle that made the first series a hit.
Loot,0,"While it has plenty of funny moments, it’s a hard pill to swallow to muster much sympathy for a character that literally has everything she wants."
Loki,0,"Loki feels too constrained, too stale, for a story about a wayward god of mischief. Too much exposition bogs down the script."
The Crown,0,The show seriously falters with Diana... The Crown prides itself on verisimilitude and that starts to fall away in Season 4.
Inventing Anna,0,"If Inventing Anna possesses any relevance at all, its due to the quality of its cast."
Limitless,0,"This is a mediocre rehash of Intelligence, which was already a humorless rip off of Chuck."
Defending Jacob,0,"This limited series strains for impact. But it's unserious about the aspects of its story that are genuinely potentially interesting, and sillier than one might have any reason to expect."
Limitless,0,A good sci-fi flick forced into a generic procedural TV show.
Downton Abbey on Masterpiece,0,Fellowes hints at drama and pulls his punches.
Marvel's Luke Cage,0,"There's just too much stuff to really do justice to any of it, and that lack of focus makes it tough to latch on to anything the season is trying to do."
Lost,0,Like the televisual equivalent of a keyboard-pounding poet... At least we know that we'll only have to suffer through one more season of this foolishness.
Joe vs Carole,0,"Kate McKinnon and John Cameron Mitchell give it their best in a series that offers too little, too late."
Moon Knight,0,A six-hour series that would have worked better as a two-and-a-half-hour film.
Two and a Half Men,0,"Two and Half Men hit a new low every season and then continued to sink even further underground. During this last season, the show went off the rails in terms of absurdity and offensiveness."
We Own This City,0,"The shows talented cast and shocking plot compel, but its dry factual narrative and blind-spot-heavy examination of policing make for an ultimately unsatisfying viewing experience."
The Outsider,0,"""The Outsider"" takes an entertaining and propulsive, if routine, read and renders it with style and savvy but not much of a pulse."
Joe vs Carole,0,"In practice, Joe vs. Carole feels like a brutally over-extended Saturday Night Live sketch, leaning heavily on the jokes we know and expect while clumsily trying to tease out some deeper meaning."
BoJack Horseman,0,[T]he decision to split up the sixth and final season makes these episodes a deeply unsatisfying experience.
Moon Knight,0,"The newest MCU series on Disney+ has some interesting ideas and cool authentically Egyptian flavor, but takes its own little time to get rolling."
Marvel's Iron Fist,0,"Though the show repeats the same mistakes as Marvel's other Netflix series, those problems are magnified because the show lacks a compelling lead."
Pieces of Her,0,"If, like me, you want something deeper, you’ll find Pieces of Her’s biggest mystery will be how this tonally mismatched, structurally messy show came to be."
The Thing About Pam,0,The flourishes used on The Thing About Pam were tiring us out by the end of the first episode; we can’t imagine how exhausted we’ll feel after watching the entire six-episode season.
Coyote,0,"Breaking Bad director Michelle MacLaren gives this series a ""Bad"" vibe, but that doesn't insure it is good... Coyote proves watchable but too derivative."
House of Cards,0,It's eight-hours of filler to set up an immensely unsatisfying conclusion.
The First,0,"It's too much buildup for too little payoff. By the time the series is ready to launch, we're already charting a course for somewhere else."
The Wheel of Time,0,"You are... left with the uneasy, then sinking, feeling that ""Wheel"" - as sumptuous a production as this is - has been done before and better. A couple of times, at least."
The Staircase,0,"I strongly considered sticking a fork in my eye at least eight times while the footage rolled... and rolled, and rolled, and rolled."
Inventing Anna,0,"Rhimes isn't shy about availing herself of artistic license. In this story, however, she forgoes fleshing out her characters and bloats each episode's runtime instead."
The Haunting of Hill House,0,The virtuosity in the style is evident. That's why it's a shame that [director and writer Mike] Flanagan neglects elementary aspects like the performances and the script. [Full review in Spanish]
Shining Girls,0,Too many threads are left dangling or unexplained. You never get that satisfying feeling of everything clicking into place by the end.
True Blood,0,Although the series could have continued - maybe by introducing zombies or mummies - True Blood had nowhere to go but in circles. It was time to put a stake in it.
We Own This City,0,"The six-part series isn't as rich as Simon's past work, in large part because it's built almost entirely out of rage. That's understandable -- but exhausting."
The Twilight Zone,0,"CBS All Access' reboot of The Twilight Zone rarely beats the audience at the guessing games it poses, or when it does, the twist is so basic as to be barely worth scoffing at."
Moon Knight,0,"Moon Knight is a snooze fest. Most of it is about MacGuffins ... and as the hero and villain chase, find, and procure them, the new Marvel series becomes too plot driven. (This also results in obvious and unnecessary exposition.)"
Loot,0,"Not every show about the ultra-wealthy needs to be as biting as Succession, but Loot too often comes off as entirely toothless."
Hawkeye,0,"For a series about a pair of sharpshooters, Hawkeye frustratingly misses the mark too often. Well, at least for viewers who aren't its target audience."
Twin Peaks,0,"""Twin Peaks"" still has the power to shock at times, but this is largely 217 characters (the number of actors in the new season) in search of an author."
House of Cards,0,"The gaping cynicism of these faux Washington insiders also paints a depressing picture of the actual current climate, especially against the backdrop of the real-life controversy in the White House."
Peacemaker,0,"""Peacemaker"" exposes a bigger problem: in a minor role with an ensemble of zany characters, Cena's witty banter felt like a breath of fresh air. In a eight-hour episodic series with lackluster supporting players, Cena struggles to carry the load."
Coyote,0,To be blunt: a show that asks its audience to connect to a rogue Border Patrol agent with literal blood on his hands needs to work harder than this one does to justify its premise.
Y: The Last Man,0,"Unfortunately, this series doesn't do enough to modernize questions from the original text."
And Just Like That...,0,"I won't lie - at some level, it's nice to catch up with them. But it lacks the spark of Sex and the City. Now it's just another show."
Suspicion,0,"Aside from a finale that feels notable only for its sloppiness, this thriller is about as forgettable as they come."
Turner & Hooch,0,"One difference between the film and the series - and it's a pretty significant one - is that Josh Peck is no Tom Hanks. Another difference - again, pretty significant - is that it's not 1989 anymore."
Twin Peaks,0,Lynch's twisted brutalization of women likewise continues... It all seems to be part of the director's basic playbook. And it's past time for him to be called out on it.
Lisey's Story,0,"There are some interesting, often supernatural connections between the characters; the hard part is wanting to stick around long enough to see where they might lead."
Heroes,0,"Once again, then, an error-riddled and confusingly-plotted episode of Heroes where everyone acted out of character, which, by this point, can be considered entirely consistent with their previous appearances."
Bridgerton,0,"The real scandal of Bridgerton: Try as it might, it’s no substitute for Jane Austen."
First Kill,0,"First Kill is a soapy supernatural star-crossed romance that doesn’t break any new ground in the genre, or elevate itself above the other mediocre series of its ilk."
Stranger Things,0,"This is the very definition of “treading water TV”, despite its big-budget fanciness, Stranger Things is really no different from any generic network procedural."
Amazing Stories,0,"With only 52 minutes of running time, The Cellar feels like a TV movie condensed to the length of a TV episode. Its characters are painted in wide brush strokes."
The Morning Show,0,"These cobbled together histrionic dramatics are offensive compared to the gravity of the issues of the first season. Even combined, the desperate scrambles of the second season don't have enough bite, or credibility, for the viewer to invest in."
Mad Men,0,Each season is starting to resemble an animated cartoon where the same landscape rolls by over and over again. We've seen a lot of these story lines before.
The Fall,0,"As good as Anderson is throughout, her Stella suffers from a Season 3 lack of development -- we learn nothing about her in this new season that we did not know from the previous two."
The First,0,"Sluggishly paced and too familiar in its character beats, it's the sort of prestige project that surely looked good on paper but fizzles once exposed to air."
Marvel's The Punisher,0,It's a shame such a wild and impulsive character is likely going out on such an underwhelming note.
Killing Eve,0,"From the first time Jodie Comer pressed a knife to Sandra Oh’s throat, the sexy murder drama seemed to promise one thing. Frustrated fans are right to be disappointed."
How I Met Your Mother,0,"""Last Forever"" brought up the idea of true love versus soul mates, and a bit about fate, but if I wanted to watch a series about how your soulmate might not be the love of your life, I'd have watched Dawson's Creek, a series which did it much better."
What If...?,0,"The light fun of it is eaten away by the cynicism from within the project, that what purports to be about infinite possibilities is blatantly more about repurposing."
Marvel's The Punisher,0,The Punisher season two is relentlessly blood and guts and that unfortunately is just punishing on to itself after a while.
Winning Time: The Rise of the Lakers Dynasty,0,Not since Bohemian Rhapsody have we seen scenes so poorly edited.
Scenes From a Marriage,0,"It's meant as an episode of reflection, but because previous episodes have given the relationship a flimsy foundation, Scenes still ends on its flattest note."
Sex/Life,0,Sex/Life is about as sexy as running a UV wand through a cheap motel room that hasn't changed its mattress in seven years.
Marvel - Jessica Jones,0,"Towards the end there was a 50-50 split between good and bad, but the first half or the show there was barely anything to like. A sad end for the Netflix MCU branch."
11.22.63,0,"The resulting eight-part miniseries is an uneven affair, at times feeling as if it's meandering through history en route to its frantic closing kick."
The Baby,0,"It’s all pretty perfunctory and over-reliant on one single, repetitive plot point that ends up not being scary, sinister, or engaging enough to compel you to see what comes next."
The Stand,0,"There's potential for this story to resonate very strongly with audiences at this moment in history, but the decision to present it out of chronological order puts everything it has to offer at risk."
The First,0,"It's a series that's all countdown, but no launch."
Monsters at Work,0,It feels like a long wait at times. The first two half-hour episodes (the only ones of the 10 that were available for review) are extraordinarily slow.
Halo,0,"Schreiber is, indeed, the most interesting thing about Halo -- which isn’t necessarily saying all that much."
Doctor Who,0,"It's not that ambition is bad, but Legend of the Sea Devils is ambitious in all the wrong ways -- the unachievable ones."
Good Sam,0,I'm as game as the next fan for a new House. This just isn't there yet.
Joe vs Carole,0,"Tiger King’s appeal was its proximity to reality, and the voyeuristic thrill of watching a convoluted and undeniably loopy story. Joe vs Carole merely photocopies it, resulting in something neither illuminating nor emotionally cathartic."
Mare of Easttown,0,"With the overwhelming variety of ""prestige"" content that exists in every nook and cranny of the internet and beyond right now, Mare of Easttown isn't exactly appointment television."
The Morning Show,0,"I liked that season one was a little campy. This season, however, summoned the ghosts of Joan Crawford, the cast of Grease 2, and Lady Gaga's Artpop era."
The OA,0,Annoying. Gripping. But annoying.
Star Trek: Picard,0,"Season 2 immediately reverses track. Star Trek: Picard gives in to audience expectation, maybe even pressure, to try and tap not just a 1990s but also 1980s nostalgia for the franchise. It largely fails at both."
Normal People,0,"Their love story is sweet, with many truthful moments of beauty and heartache... But despite the long timespan of the series' events, the characters' emotional arcs move at a much slower pace and become lost in the minutiae."
Halo,0,"Extremely generic sci-fi, and incredibly different from the source material in ways that are not justified.  This just doesn't cut it in the ultra competitive streaming arena."
The Mosquito Coast,0,"The bottom line is Apple has produced a series that not only fails to get under your skin, but mostly just makes you want to swat it away."
Tokyo Vice,0,What would Japanese people do without Americans around to explain everything to them?
Invasion,0,Invasion is an admirable attempt at subverting the expectations that come with a big budget sci-fi show about alien invaders; the only problem is that it's not very interesting or exciting.
The Mist,0,"Given the understandably low budget, it would have been smarter to play with the unknown enemy in the mist instead of making such a literal horror show."
Twin Peaks,0,"""I am dead. Yet I live,"" [Laura Palmer] said. Much the same could be said of the revival, which resembles a danse macabre, full of familiar steps, but with some new missteps all of its own."
Lisey's Story,0,"Director Pablo Larraín and a splendid cast led by Julianne Moore and Clive Owen are left with the task of making Lisey's Story cinematic, resulting in a push-and-pull that's all-too-visible, especially in the series' clumsy back-half."
Foundation,0,"The dense, at-times muddled narrative offers little to warrant the enthusiasm to justify that, leaving behind an impenetrable show that looks like several million bucks but feels as if it lacks the tools to save itself, much less all mankind."
Amazing Stories,0,"The upside of any anthology series is the possibility that the next installment can completely turn things around with a brand-new tale. Still, if this is the show's best foot forward, it doesn't imply much optimism."
Foundation,0,"Not much about Foundation sticks, either emotionally or narratively. There are cause-and-effect relationships between one event and another, but they're stretched across long-attenuated frames."
Sex/Life,0,"All of this would be laudable if the writing weren't hilariously atrocious. At least it's adhering to form, which means you can fast forward through most of it."
Entourage,0,"""Entourage"" seems to have undergone a certain loss of identity, at least on the evidence of the first few new shows."
Killing Eve,0,"Weve grown accustomed to queer characters dying on screen, especially ones in relationships. Keeping these women apart for the majority of the series, giving the characters (and fans) what they want, and then ripping it away is such a tired trope."
True Blood,0,Although the series could have continued - maybe by introducing zombies or mummies - True Blood had nowhere to go but in circles. It was time to put a stake in it.
The Time Traveler's Wife,0,The bigger problem is that it’s all just a lot of time-traveling and dealing with the rigors of time-traveling. It’s mono-thematic.
Bridgerton,0,"The first episode in the new season lasts eight hours and 24 minutes. No, not really. It does feel interminable, though."
Behind Her Eyes,0,"Here's my general opinion: I like a good twist, but the twist in Behind Her Eyes is a groaner. The series switches genres, and the final chapter felt to me like a slap in the face -- when it didn't make me laugh out loud at the absurdity."
The Mosquito Coast,0,The tone-deaf tourism of The Mosquito Coast makes for an adventure that's increasingly difficult to go along with.
The Mosquito Coast,0,"The bottom line is Apple has produced a series that not only fails to get under your skin, but mostly just makes you want to swat it away."
The Endgame,0,"It all looks quite sleek and impressive, but even after just two episodes, Elena’s ability to pull off the impossible out of nowhere begins to get old."
Moon Knight,0,"The 1st episode is fantastic, but the quality quickly drops off.  Steven is fun but Isaac makes the other personality, Marc, quite boring. Moon Knight & his mythology are sloppily defined,  making it hard to get excited about this new addition to the MCU."
Moon Knight,0,Moon Knight attempts to do something even more different in the MCU but it fails at every attempt.
Girls,0,It's unlikely anything will be fully formed - characters or tone - by the end of the final episode. Girls will stay frustrating.
The Stand,0,"While it may sound as if this would be particularly frightening to watch right now, the truth is that this much-awaited series is a bit of an anti-climax."
Pieces of Her,0,"In order to stretch out the drama...it can drag a little bit rather than make it interesting to
watch... By the time you figure out what's going on, which is four or five episodes in, it loses steam."
Anatomy of a Scandal,0,"In Anatomy of a Scandal, there is the matter of what constitutes consent and what is rape. But the muddled storytelling leaves the victim behind."
The X-Files,0,"Based on five episodes made available for preview, things remain uneven -- the first episode is dragged down by more conspiracy blather, interminable voiceover and way too many apocalyptic predictions of doom."
Nine Perfect Strangers,0,"[It] spends a great deal of time drip feeding epiphanies, dwelling in personal moments and dealing in character and yet there is a disconnect. Production design, cinematography and score all come together with direction and tone yet something is missing"
Normal People,0,"I kept yearning for these mouthwateringly beautiful people to be more convincingly nasty to each other, for the romance to take on palpable energy, fizz, danger, real sadness."
The Mist,0,"Some character depth would help maintain interest for 10 episodes around a scary fog, but from the town's cops to the high school jocks, it all feels like a mediocre horror movie. That's a hard sell for 10 weeks."
Sons of Anarchy,0,"While it will be interesting to see the way Sons tackles loose ends, in terms of how the series explores shades of gray, it looks like it's all over but the shooting."
Mare of Easttown,0,"Winslet elevates everything, but ""Mare of Easttown"" needs some serious elevating out of its dreariness and familiarity. It's certainly watchable but also predictable. Look elsewhere for light."
Arrested Development,0,"Arrested Development ending, or approaching the finish line, is the best thing for all involved. It's just sad to see everything wrap up on a ""less-than"" note and in a way that, ultimately, doesn't feel much like Arrested Development."
Game of Thrones,0,Season eight made the regrettable mistake of giving half its time to an underwhelming villain at the expense of the characters who made the show special in the first place.
The Me You Can't See,0,"There is no doubt that every contributor's motives here were pure. But standing outside and looking at the programme as an artefact and an influence on debate, one might ask whether sharing stories always means giving back"
Little Fires Everywhere,0,"Elena is thinly drawn as an obviously villainous ""white savior"" and Witherspoon is repeating her performance from Big Little Lies with less nuance and shading."
Limitless,0,"Limitless comes off as rote, slick and bloodless.The show is based on the film of the same name and expect occasional Bradley Cooper drop-ins, but unless Limitless lives up to its name and starts achieving far more of its potential, I'll pass."
Halo,0,"Boasting no technological innovation to speak of, few performances to offer meaningful grounding and only limited action thrills, Halo is aggressively forgettable, which is at least several steps up from “bad.”"
The Right Stuff,0,The Right Stuff is inoffensively bland.
A Wilderness of Error,0,"A Wilderness of Error is a fascinating and informative look at a notorious piece of American history, but it struggles to defend its own relevance."
Halo,0,"Schreiber is, indeed, the most interesting thing about Halo -- which isn’t necessarily saying all that much."
Dan Brown's The Lost Symbol,0,There's nothing Ashley Zukerman could have done to make Robert Landgon less of a butthead; his insufferability is a problem with the writing of the show.
Star Wars Resistance,0,"The bottom line is that Resistance... isn't really that good, or memorable. More specifically, it's a show that really doesn't know what it wants to be."
Ozark,0,"When each scene is over, it evaporates in the perpetual churn of increasingly insupportable plot points."
The Mosquito Coast,0,"The title, and the blueprints from other shows, seem disposable, or at least casually, even wastefully transposable. How predictably American, Allie Fox would probably think."
Normal People,0,"Beyond illustrating the angst of their mutual attraction with a thousand penetrating angles, Normal People's TV adaptation fails as both an adaptation and as a standalone show. Without the details of the book, the story is featureless erotica."
Lovecraft Country,0,"The new HBO series isn't interested in torquing the qualities of what's called Lovecraftian, nor inheriting them-and its episodes are weighted down by historical annotations and clumsy exposition."
Bel-Air,0,"The missing element here is the camp of a juicy soap. If we can’t laugh, then we should gasp. Remaking an iconic series is a silly endeavor—why not lean all the way into that?"
Foundation,0,"Beneath the gunplay and C.G.I., there's a much weirder show struggling to get out, about statistics and space popes, decadent clone emperors and millennia-old robots."
Lovecraft Country,0,"Pulp horror stories are best consumed in a single, quick encounter, before their limitations of plot and characterization become too obvious to ignore. Lovecraft Country is reduced to one of the walking dead long before its final credits roll."
The Night Of,0,"Actor/producer James Gandolfini's last project was meant to be a stirring indictment of the criminal justice system. Instead, it plays like an overwrought NYPD Blue episode."
The Morning Show,0,"""The Morning Show"" keeps returning to this idea that even as the network is drowning an endless pool of scandal and drama, these people care. I don't know if that's supposed to be meaningful or ironic, but mostly it left me feeling nothing at all."
Rise,0,It's time for a break from the tears. You have to earn those.
Interrogation,0,Perhaps more frustrating is that some of our time in the '80s is given to us free of a person's recollection of events.
Anatomy of a Scandal,0,My real problem with Scandal isn’t that it’s trashy or muddled in its message. I was mostly lost wondering who to care about... What’s really missing in this Anatomy lesson is its soul.
Invasion,0,Invasion is an admirable attempt at subverting the expectations that come with a big budget sci-fi show about alien invaders; the only problem is that it's not very interesting or exciting.
Arrested Development,0,"Coming across more like a tribute band to the series itself and ditching the controversial experimentation of 2013's Season 4, this second season of the comedy... is simply less original for a show that used to spark with cleverness."
Winning Time: The Rise of the Lakers Dynasty,0,"McKay has entered... an Aaron Sorkin-esque level of directorial obtrusiveness, where a filmmaker’s tics and indulgences keep calling attention to themselves, distracting from the narrative at hand rather than amplifying it."
Killing Eve,0,"Ever since the series’ first season, Killing Eve has been stuck in a weird holding pattern when it comes to these characters... And in the final season, don’t we -- and these characters -- deserve more?"
Joe vs Carole,0,"Tiger King’s appeal was its proximity to reality, and the voyeuristic thrill of watching a convoluted and undeniably loopy story. Joe vs Carole merely photocopies it, resulting in something neither illuminating nor emotionally cathartic."
Monsters at Work,0,"Rather than lending fresh new eyes to a world first established two decades ago, Gannaway and company play a Greatest Hits montage of Monsters Inc. references."
Coyote,0,"Breaking Bad director Michelle MacLaren gives this series a ""Bad"" vibe, but that doesn't insure it is good... Coyote proves watchable but too derivative."
The Witcher,0,"The show remains uneven and somewhat impenetrable to anyone not truly invested in it, which isn't helped by the long layoff."
The Right Stuff,0,"The actors do their best to overcome the flat writing, and the show does find its stride by the fifth episode. What the new ""Right Stuff"" is missing are the qualities it can probably never have: currency and context."
The Nevers,0,"There's a lot of that carelessness throughout The Nevers. Or maybe it's just that there's simply a lot happening in The Nevers, and it's hard to keep track of it all."
Angelyne,0,Rarely makes for more than a fitfully engrossing watch.
The Pentaverate,0,"The Pentaverate rambles and repeats itself too often, even if the glimpses of Myers’ undeniable skill almost make it work and might be just enough for those who have missed him so."
Mr. Corman,0,It's disingenuous for [Joseph Gordon-Levitt] to try to get in the mind of the average man who doesn't know what he wants to do.
And Just Like That...,0,"Why is everyone so dulled down? This brings us to Samantha, whose absence may be the biggest presence on And Just Like That so far. There is no good way to write her out."
The First Lady,0,"While it celebrates women who break the mold, the show itself is deeply — and dispiritingly — conventional."
Safe,0,"Safe could have been so good. All the ingredients were there for a prime binge-worthy crime thriller - the writers, the cast, the concept - but it just hasn't been given the time, care and attention it needed."
The Undoing,0,"The Undoing is gratingly off-key. It invites us to sympathise with poor, rich Grace as her bubble of privilege bursts. Not right now, thanks."
Treadstone,0,"A show whose ambition to try to capture a world's worth of adventure seems, too often, like taking the easy way out from digging too deeply into story or character."
Waco,0,"The only way the government could look any more like buffoons, barbarians, and jackasses in the series is if the ATF and FBI sequences were soundtracked with ""Yakety Sax."""
The Stand,0,"It's curiously bland, devoid of most of the scares that King is known for, and telling a straightforward story in a faithful but lifeless manner."
